time_s,4-16,4-17,4-18,4-19,4-9
0,23.8,24.0,24.2,23.7,24.0
5263,27.8,28.0,28.4,27.6,24.3
10526,29.8,30.1,30.5,29.6,24.4
15789,31.2,31.5,31.9,31.0,24.5
21053,32.4,32.7,33.0,32.2,24.6
26316,33.4,33.7,34.0,33.2,24.5
31579,34.3,34.5,34.8,34.1,24.4
36842,35.0,35.2,35.5,34.8,24.5
42105,35.5,35.8,36.0,35.4,24.6
47368,36.0,36.2,36.4,35.8,24.5
52632,36.4,36.6,36.8,36.2,24.3
57895,36.7,36.9,37.1,36.5,24.2
63158,37.0,37.15,37.35,36.8,24.2
68421,37.2,37.35,37.55,37.0,24.2
73684,37.35,37.5,37.7,37.15,24.2
78947,37.4,37.55,37.65,37.2,24.5
84211,37.5,37.6,37.75,37.3,24.5
89474,37.6,37.7,37.8,37.4,24.5
94737,37.65,37.75,37.85,37.45,24.6
100000,37.7,37.8,37.9,37.5,24.6
