time_s,4-16,4-17,4-18,4-19
0,23.73,24.02,24.0,23.42
1326,23.84,24.13,24.14,23.59
2653,23.86,24.06,24.05,23.69
3979,23.87,24.11,24.1,23.78
5305,24.21,24.18,24.15,24.05
6632,24.1,24.15,24.16,24.15
7958,24.13,24.15,24.16,24.15
9284,24.19,24.2,24.21,24.19
10611,24.22,24.23,24.23,24.21
11937,24.26,24.26,24.26,24.25
13263,24.28,24.29,24.29,24.27
14589,24.29,24.3,24.3,24.29
15916,24.32,24.33,24.34,24.31
17242,24.35,24.36,24.37,24.34
18568,24.38,24.39,24.4,24.37
19895,24.37,24.38,24.38,24.36
21221,24.36,24.36,24.36,24.3
22547,24.4,24.4,24.41,24.34
23874,24.41,24.42,24.42,24.35
25200,24.44,24.45,24.44,24.36
