Date,Time [s],2-1,2-9,2-3,2-17,2-22,2-21
2026-02-19 11:30:00,0,18.25,18.75,18.65,18.85,18.75,19.48
2026-02-19 11:46:40,1000,19.48,19.25,19.42,19.43,19.3,19.75
2026-02-19 12:03:20,2000,19.7,19.28,19.57,19.53,19.22,19.72
2026-02-19 12:20:00,3000,19.88,19.38,19.67,19.64,19.37,19.88
2026-02-19 12:36:40,4000,20.02,19.48,19.8,19.77,19.49,20.05
2026-02-19 12:53:20,5000,20.12,19.58,19.91,19.89,19.61,19.98
2026-02-19 13:10:00,6000,20.22,19.7,20.03,20.01,19.72,20.08
2026-02-19 13:26:40,7000,20.32,19.81,20.14,20.12,19.83,20.02
2026-02-19 13:43:20,8000,20.42,19.9,20.24,20.23,19.94,20.22
2026-02-19 14:00:00,9000,20.52,20.0,20.34,20.33,20.06,20.15
2026-02-19 14:16:40,10000,20.61,20.1,20.43,20.43,20.18,20.25
2026-02-19 14:33:20,11000,20.69,20.2,20.52,20.53,20.29,20.38
2026-02-19 14:50:00,12000,20.76,20.28,20.61,20.62,20.4,20.33
2026-02-19 15:06:40,13000,20.83,20.34,20.68,20.69,20.5,20.45
2026-02-19 15:15:00,13500,20.88,20.37,20.72,20.73,18.0,20.38
2026-02-19 15:23:20,14000,20.92,20.4,20.76,20.77,20.98,20.5
2026-02-19 15:48:20,15500,20.95,20.46,20.82,20.85,21.07,20.58
2026-02-19 16:13:20,17000,21.0,20.52,20.88,20.91,21.14,20.56
2026-02-19 16:38:20,18500,21.05,20.56,20.91,20.95,21.21,20.42
2026-02-19 17:03:20,20000,21.1,20.62,20.96,21.0,21.27,20.3
