Date,Time [s],4-16,4-17,4-18,4-19
2026-07-08 10:00:00,0,23.73,24.02,24.0,23.42
2026-07-08 10:22:06,1326,23.84,24.13,24.14,23.59
2026-07-08 10:44:13,2653,23.86,24.06,24.05,23.69
2026-07-08 11:06:19,3979,23.87,24.11,24.1,23.78
2026-07-08 11:28:25,5305,24.21,24.18,24.15,24.05
2026-07-08 11:50:32,6632,24.1,24.15,24.16,24.15
2026-07-08 12:12:38,7958,24.13,24.15,24.16,24.15
2026-07-08 12:34:44,9284,24.19,24.2,24.21,24.19
2026-07-08 12:56:51,10611,24.22,24.23,24.23,24.21
2026-07-08 13:18:57,11937,24.26,24.26,24.26,24.25
2026-07-08 13:41:03,13263,24.28,24.29,24.29,24.27
2026-07-08 14:03:09,14589,24.29,24.3,24.3,24.29
2026-07-08 14:25:16,15916,24.32,24.33,24.34,24.31
2026-07-08 14:47:22,17242,24.35,24.36,24.37,24.34
2026-07-08 15:09:28,18568,24.38,24.39,24.4,24.37
2026-07-08 15:31:35,19895,24.37,24.38,24.38,24.36
2026-07-08 15:53:41,21221,24.36,24.36,24.36,24.3
2026-07-08 16:15:47,22547,24.4,24.4,24.41,24.34
2026-07-08 16:37:54,23874,24.41,24.42,24.42,24.35
2026-07-08 17:00:00,25200,24.44,24.45,24.44,24.36
