Date,Time [s],4-16,4-17,4-18,4-19,4-9
2026-07-09 10:00:00,0,23.8,24.0,24.2,23.7,24.0
2026-07-09 11:27:43,5263,27.8,28.0,28.4,27.6,24.3
2026-07-09 12:55:26,10526,29.8,30.1,30.5,29.6,24.4
2026-07-09 14:23:09,15789,31.2,31.5,31.9,31.0,24.5
2026-07-09 15:50:53,21053,32.4,32.7,33.0,32.2,24.6
2026-07-09 17:18:36,26316,33.4,33.7,34.0,33.2,24.5
2026-07-09 18:46:19,31579,34.3,34.5,34.8,34.1,24.4
2026-07-09 20:14:02,36842,35.0,35.2,35.5,34.8,24.5
2026-07-09 21:41:45,42105,35.5,35.8,36.0,35.4,24.6
2026-07-09 23:09:28,47368,36.0,36.2,36.4,35.8,24.5
2026-07-10 00:37:12,52632,36.4,36.6,36.8,36.2,24.3
2026-07-10 02:04:55,57895,36.7,36.9,37.1,36.5,24.2
2026-07-10 03:32:38,63158,37.0,37.15,37.35,36.8,24.2
2026-07-10 05:00:21,68421,37.2,37.35,37.55,37.0,24.2
2026-07-10 06:28:04,73684,37.35,37.5,37.7,37.15,24.2
2026-07-10 07:55:47,78947,37.4,37.55,37.65,37.2,24.5
2026-07-10 09:23:31,84211,37.5,37.6,37.75,37.3,24.5
2026-07-10 10:51:14,89474,37.6,37.7,37.8,37.4,24.5
2026-07-10 12:18:57,94737,37.65,37.75,37.85,37.45,24.6
2026-07-10 13:46:40,100000,37.7,37.8,37.9,37.5,24.6
